partner_code,partner_name,city,device_id
PTR001,Sharma Telecom,Mumbai,XR24592
PTR001,Sharma Telecom,Mumbai,BN46048
PTR001,Sharma Telecom,Mumbai,AD39256
PTR001,Sharma Telecom,Mumbai,UI23434
PTR001,Sharma Telecom,Mumbai,MO81482
PTR001,Sharma Telecom,Mumbai,ZC87397
PTR001,Sharma Telecom,Mumbai,JY14165
PTR001,Sharma Telecom,Mumbai,BN22280
PTR001,Sharma Telecom,Mumbai,WE40495
PTR001,Sharma Telecom,Mumbai,WY88907
PTR001,Sharma Telecom,Mumbai,BN83563
PTR001,Sharma Telecom,Mumbai,NM95181
PTR001,Sharma Telecom,Mumbai,ES81426
PTR001,Sharma Telecom,Mumbai,HT38893
PTR001,Sharma Telecom,Mumbai,ZO87236
PTR001,Sharma Telecom,Mumbai,ZX10851
PTR001,Sharma Telecom,Mumbai,AA30926
PTR001,Sharma Telecom,Mumbai,ES65392
PTR001,Sharma Telecom,Mumbai,TG46421
PTR001,Sharma Telecom,Mumbai,AS38221
PTR001,Sharma Telecom,Mumbai,AA54118
PTR001,Sharma Telecom,Mumbai,JK22156
PTR001,Sharma Telecom,Mumbai,PA22676
PTR001,Sharma Telecom,Mumbai,UJ55082
PTR001,Sharma Telecom,Mumbai,JP44671
PTR001,Sharma Telecom,Mumbai,HJ70217
PTR001,Sharma Telecom,Mumbai,UA26361
PTR001,Sharma Telecom,Mumbai,PA20328
PTR001,Sharma Telecom,Mumbai,OE48427
PTR001,Sharma Telecom,Mumbai,ZE91070
PTR001,Sharma Telecom,Mumbai,IK85674
PTR001,Sharma Telecom,Mumbai,BV19116
PTR001,Sharma Telecom,Mumbai,HJ96673
PTR001,Sharma Telecom,Mumbai,TO47930
PTR001,Sharma Telecom,Mumbai,VL40512
PTR001,Sharma Telecom,Mumbai,AT59823
PTR001,Sharma Telecom,Mumbai,ZX69429
PTR001,Sharma Telecom,Mumbai,XR57819
PTR001,Sharma Telecom,Mumbai,FG58520
PTR001,Sharma Telecom,Mumbai,UJ37460
PTR001,Sharma Telecom,Mumbai,NI44993
PTR001,Sharma Telecom,Mumbai,ES99593
